Fraxinus anomola                                                |Single-leaf Ash                                                 
Gaillardia aristata                                             |Native Blanket Flower                                           
Gaillardia pinnatifida                                          |Hopi Blanketflower                                              
Gaillardia pulchella (annual)                                   |Rose-ring Gaillardia, Indian Blanket Flower                     
Gaillardia pulchella 'Loreziana'  (annual)                      |Lorenziana Double Blanket Flower                                
Galium boreale ssp.septentrionale                               |Northern Bedstraw                                               
Garrya Wrightii                                                 |Wright's Silk Tassel Bush                                       
Geranium caespitosum                                            |Wild Geranium                                                   
Geranium richardsonii                                           |Richardson Geranium                                             
Geranium viscosissimum                                          |Sticky Geranium                                                 
Geranuim dalmaticum (NN)                                        |Turkish Geranium                                                
Geum triflorum                                                  |Prairie Smoke, Pink Plumes                                      
Globularia cordifolia (NN)                                      |Globularia, Blue Toes                                           
Grayia spinosa                                                  |Spiny Hopsage                                                   
Grindelia squarrosa (Biennial, s.l.perenn.)                     |Curly-top Gumweed, Gumweed                                      
Gutierrezia sarothrae                                           |Broom Snakeweed                                                 
Haplopappus acaulis                                             |Evergreen Goldenweed                                            
Haplopappus macronema                                           |Cobwebby Goldenbush                                             
Haplopappus spinulosus                                          |Spiny Goldenweed                                                
Harbouria trachypleura                                          |Whisk-broom Parsley                                             
Helianthus Maximiliani                                          |Maximilian Sunflower                                            
Helianthus pumilus                                              |Bush Sunflower                                                  
Heliomeris multiflora (Viguiera multiflora)                     |Sunspots                                                        
Heracleum sphondylium                                           |American Cow Parsnip                                            
Heterotheca fulcrata                                            |Foothills Golden Aster                                          
Heterotheca villosa                                             |Golden Aster                                                    
Heuchera Hallii                                                 |Hall's Alumroot                                                 
Holodiscus discolor                                             |Creambush                                                       
Holodiscus dumosus                                              |Cliff Spirea, Rock Spirea, Ocean Spray                          
Huchera rubescens var.alpicola                                  |unknown                                                         
Humulus lupulus var.neomexicanus                                |Wild Hops                                                       
Hymenoxis grandiflora                                           |Alpine Sunflower, Old Man of the Mountain                       
Iliamna rivularis                                               |Wild Hollyhock, Mountain Hollyhock                              
Ipomea leptophylla                                              |Bush Morning Glory                                              
Ipomopsis aggregata (biennial)                                  |Scarlet Gilia, Skyrocket                                        
Ipomopsis candida (biennial)                                    |Fairy Trumpet, White Gilia                                      
Iris lactea                                                     |unknown                                                         
Iris missouriensis                                              |Blue Flag, Wild Iris                                            
Jamesia americana                                               |Wax Flower                                                      
Juniperus monosperma                                            |One-seed Juniper                                                
Juniperus osteosperma                                           |Utah Juniper                                                    
Knautia macedonica (NN)                                         |Knautia, Burgundy Buttons                                       
Leucelene ericoides                                             |Rose-heath, Pixie Daisy                                         
Lewisia cotyledon                                               |Lewisia                                                         
Liatris punctata                                                |Spotted Gayfeather, Dwarf Gayfeather                            
Linum grandiflorum NN (annual)                                  |Red-Flowering Flax                                              
Linum Lewisii                                                   |Blue Flax, Lewis' Flax                                          
Lithospermum incisum                                            |Narrow-leaved Puccoon                                           
Lithospermum multiflorum                                        |Many-flowered Puccoon                                           
Lonicera involucrata                                            |Black Twinberry, Bush Honeysuckle                               
Lupinus argenteus                                               |Silvery Lupine                                                  
Lupinus sericeus                                                |Silky Lupine                                                    
Lychnis alpina (NN)                                             |Alpine Catchfly                                                 
Lychnis coronaria NN                                            |Rose Campion, Mullein Pink                                      
Lycium pallidum                                                 |Pale Box Thorn, Pale Matrimony Vine                             
Lygodesmia grandiflora                                          |Showy Rushpink                                                  
Lygodesmia juncea                                               |Skeleton-Weed                                                   
Macheranthera Pattersonii                                       |Patterson's Purple Aster                                        
Mahonia Fremontii                                               |Fremont's Mahonia                                               
Mahonia haematocarpa                                            |Redberry Mahonia                                                
Mahonia repens                                                  |Creeping Grape Holly                                            
Melampodium  leucanthemum                                       |Blackfoot Daisy                                                 
Mentzelia decapetala                                            |Blazing Star, Giant Evening Star                                
Mentzelia nuda                                                  |Plains Evening Star, White Evening Star                         
Mertensia ciliata                                               |Chiming Bells, Broad-leaf Bluebells                             
Mimulus guttatus                                                |Common Yellow Monkey-flower                                     
Mimulus Lewisii                                                 |Pink Monkey Flower, Lewis'  Monkey Flower                       
Mirabilis multiflora                                            |Wild Four-O'clock                                               
Monarda fistulosa var.menthifolia                               |Native Beebalm, Horsemint                                       
Monardella odoratissima                                         |Cloverhead Horsemint, White Coyote Mint                         
