Stachys coccinea|DS-CTD
Stanleya pinnata|DS-CTD
Symphoricarpus oreophilus|CT(90-120)-CTD
Tetradymia canescens|CT(90-120)-LC
Thermopsis divaricarpa|WW(24)-CT(60-90)-CTD
Thalictrum fendleri|HY-CT(90-120)-CTD
Thelesperma filifolium|DS-LC
Thermopsis montanus|HY-CT(60-90)-CTD
Townsendia exscapa|DS-LC
Townsendia Hookeri|DS-LC
Humulus lupulus var.neomexicanus|CT(60-90)-CTD
Yucca glauca|HY-CTD
Yucca Harrimaniae|HY-CTD
Zinnia grandiflora|HY-CTD
